18 Pa.C.S. §  ,DESCRIPTION,STATUTORY CLASS,§  303.3 OFFENSE GRAVITY SCORE,§  303.7
3929(a)(5),Retail theft-tamper w/ inventory tag (2nd off & ‹$150),M-2,2,m
3929(a)(5),Retail theft-tamper w/ inventory tag (3rd/subsq off),F-3,3,1
3929(a)(5),Retail theft-tamper w/ inventory tag (disaster),F-2,8,2
3929.1(a),Library Theft (1st/2nd off & ›=$150),M-1,3,m
3929.1(a),Library Theft (2nd off & ‹$150),M-2,2,m
3929.1(a),Library Theft (3rd/Subsq off),F-3,5,1
3929.2(a),Unlawful possession-retail/library theft instruments,M-1,3,m
3929.3(a),"Organized retail theft (›=$20,000)",F-2,7,2
3929.3(a),"Organized retail theft ($5,000-$19,999)",F-3,6,1
3930(a)(1),Theft of trade secrets-by force,F-2,7,2
3930(a)(2),Theft of trade secrets-willful entry of building,F-2,7,2
3930(a)(3),Theft of trade secrets-willful access of computer,F-2,7,2
3930(b)(1),Theft of trade secrets-unlawful possession,F-3,5,1
3930(b)(2),Theft of trade secrets-unlawful conversion to own use,F-3,5,1
3931,"Theft of unpublished drama, etc. (›$2,000)",F-3,5,1
3931,"Theft of unpublished drama, etc. (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3931,"Theft of unpublished drama, etc. ($200-$2,000/no threat)",M-1,3,m
3931,"Theft of unpublished drama, etc. ($50-‹$200/no threat)",M-2,2,m
3931,"Theft of unpublished drama, etc. (‹$50/no threat)",M-3,1,m
3932(a),Theft of leased property (anhydrous,F-2,8,2
,ammonia),,,
3932(a),Theft of leased property (firearm),F-2,8,2
3932(a),"Theft of leased property (=›$500,000)",F-1,8,3
3932(a),"Theft of leased property ($100,000-‹$500,000)",F-2,7,2
3932(a)*,"Theft of leased property (›$25,000-‹$100,000/or motorized vehicle)",F-3,6,1
3932(a)*,"Theft of leased property (›$2,000-$25,000)",F-3,5,1
3932(a),"Theft of leased property (‹=$2,000/from indiv./by threat/breach)",M-1,3,m
3932(a),"Theft of leased property ($200-$2,000/no threat)",M-1,3,m
3932(a),Theft of leased property ($50-‹$200/no threat),M-2,2,m
3932(a),Theft of leased property (‹$50/no threat),M-3,1,m
3934(a),Theft from a motor vehicle (3rd/subsq w/in 5 yrs),F-3,6,1
3934(a),Theft from a motor vehicle (›$200),M-1,3,m
3934(a),Theft from a motor vehicle (›=$50-‹$200),M-2,2,m
3934(a),Theft from a motor vehicle (‹$50),M-3,1,m
3935(a),Theft of secondary metal-value ‹$50 (1st or 2nd offense),M-3,1,m
3935(a),Theft of secondary metal-value $50 to,M-2,2,m
,‹$200 (1st or 2nd offense),,,
3935(a),"Theft of secondary metal-value $200 to ‹$1,000 (1st or 2nd offense)",M-1,3,m
3935(a),"Theft of secondary metal-value =›$1,000",F-3,5,1
,(1st or 2nd offense),,,
3935(a),Theft of secondary metal (3rd or subsq offense),F-3,5,1
4101(a)(1),Forgery-altered writing (money/stocks/govt docs/etc.),F-2,4,2
4101(a)(1),Forgery-altered writing (will/deed/other legal doc),F-3,3,1
4101(a)(1),Forgery-altered writing (other),M-1,3,m
4101(a)(2),Forgery-unauthorized writing (money/stocks/govt docs/etc.),F-2,4,2
4101(a)(2),Forgery-unauthorized writing (will/deed/other legal doc),F-3,3,1
4101(a)(2),Forgery-unauthorized writing (other),M-1,3,m
4101(a)(3),Forgery-utter forged writing (money/stocks/govt docs/etc.),F-2,4,2
4101(a)(3),Forgery-utter forged writing (will/deed/other legal doc),F-3,3,1
4101(a)(3),Forgery-utter forged writing (other),M-1,3,m
4102,Simulating objects of antiquity,M-1,3,m
4103,Fraudulent destruction of recordable instruments,F-3,5,1
4104(a),Tampering w/records or identification,M-1,3,m
4105(a)(1),"Bad checks-issues/passes check (=›$75,000)",F-3,5,1
4105(a)(1),"Bad checks-issues/passes check ($1,000-‹$75,000)",M-1,3,m
4105(a)(1),"Bad checks-issues/passes check ($500-‹$1,000)",M-2,2,m
4105(a)(1),Bad checks-issues/passes check ($200-‹$500),M-3,1,m
4105(a)(1),"Bad checks-issues/passes check (3rd/subsq off & ‹$75,000)",M-1,3,m
4105(a)(2),"Bad checks-issues/passes check in Commonwealth (=›$75,000)",F-3,5,1
4105(a)(2),"Bad checks-issues/passes check in Commonwealth ($1,000-‹$75,000)",M-1,3,m
4105(a)(2),"Bad checks-issues/passes check in Commonwealth ($500-‹$1,000)",M-2,2,m
4105(a)(2),Bad checks-issues/passes check in Commonwealth ($200-‹$500),M-3,1,m
4105(a)(2),"Bad checks-issues/passes check in Commonwealth (3rd/subsq off & ‹$75,000)",M-1,3,m
4106(a)(1)(i),Access device fraud-altered/counterfeit device (›=$500),F-3,5,1
4106(a)(1)(i),Access device fraud-altered/counterfeit device ($50-‹$500),M-1,4,m
4106(a)(1)(i),Access device fraud-altered/counterfeit device (‹$50),M-2,3,m
4106(a)(1)(ii),Access device fraud-unauthorized use of device (›$500),F-3,5,1
4106(a)(1)(ii),Access device fraud-unauthorized use of device ($50-‹$500),M-1,4,m
4106(a)(1)(ii),Access device fraud-unauthorized use of device (‹$50),M-2,3,m
4106(a)(1)(iii),Access device fraud-device revoked/cancelled (›=$500),F-3,5,1
4106(a)(1)(iii),Access device fraud-device revoked/cancelled ($50-‹$500),M-1,4,m
4106(a)(1)(iii),Access device fraud-device revoked/cancelled (‹$50),M-2,3,m
4106(a)(1)(iv),Access device fraud-other (›=$500),F-3,5,1
4106(a)(1)(iv),Access device fraud-other ($50-‹$500),M-1,4,m
4106(a)(1)(iv),Access device fraud-other (‹$50),M-2,3,m
4106(a)(2),Access device fraud-publishes/makes/sells illegal device,F-3,5,1
4106(a)(3),Access device fraud-knowingly possesses illegal device,M-3,2,m
4106.1(a)(1),Unlawful device-making equipment,F-3,6,1
,(produces/traffics),,,
4106.1(a)(2),Unlawful device-making equipment (possesses),M-1,4,m
4107(a)(1),"Deceptive business practices-false weight/measure (›$2,000)",F-3,5,1
4107(a)(1),"Deceptive business practices-false weight/measure ($200-$2,000)",M-1,3,m
4107(a)(1),Deceptive business practices-false weight/measure (‹$200/amt unk),M-2,2,m
4107(a)(1),"Deceptive business practices-false weight/measure (›$2,000 & victim ›=60 yrs)",F-2,7,2
4107(a)(1),"Deceptive business practices-false weight/measure ($200-$2,000 & victim ›=60 yrs)",F-3,5,1
4107(a)(1),Deceptive business practices-false weight/measure (‹$200/amt unk & victim ›=,M-1,3,m
,60 yrs),,,
4107(a)(2),"Deceptive business practices-sells ‹ rep. quantity (›$2,000)",F-3,5,1
4107(a)(2),"Deceptive business practices-sells ‹ rep. quantity ($200-$2,000)",M-1,3,m
4107(a)(2),Deceptive business practices-sells ‹ rep. quantity (‹$200/amt unk),M-2,2,m
4107(a)(2),"Deceptive business practices-sells ‹ rep. quantity (›$2,000 & victim ›=60 yrs)",F-2,7,2
4107(a)(2),"Deceptive business practices-sells ‹ rep. quantity ($200-$2,000 & victim ›=60 yrs)",F-3,5,1
4107(a)(2),Deceptive business practices-sells ‹ rep. quantity (‹$200/amt unk & victim ›=,M-1,3,m
,60 yrs),,,
4107(a)(3),"Deceptive business practices-take › rep. quantity (›$2,000)",F-3,5,1
4107(a)(3),"Deceptive business practices-take › rep. quantity ($200-$2,000)",M-1,3,m
4107(a)(3),Deceptive business practices-take › rep. quantity (‹$200/amt unk),M-2,2,m
4107(a)(3),"Deceptive business practices-take › rep. quantity (›$2,000 & victim ›=60 yrs)",F-2,7,2
4107(a)(3),"Deceptive business practices-take › rep. quantity ($200-$2,000 & victim ›=60 yrs)",F-3,5,1
4107(a)(3),Deceptive business practices-take › rep. quantity (‹$200/amt unk & victim ›=,M-1,3,m
,60 yrs),,,
4107(a)(4),"Deceptive business practices-sell adulterated goods (›$2,000)",F-3,5,1
4107(a)(4),"Deceptive business practices-sell adulterated goods ($200-$2,000)",M-1,3,m
4107(a)(4),Deceptive business practices-sell adulterated goods (‹$200/amt unk),M-2,2,m
4107(a)(4),"Deceptive business practices-sell adulterated goods (›$2,000 & victim ›=60 yrs)",F-2,7,2
4107(a)(4),"Deceptive business practices-sell adulterated goods ($200-$2,000 & victim ›=60 yrs)",F-3,5,1
4107(a)(4),Deceptive business practices-sell adulterated goods (‹$200/amt unk & victim ›=60 yrs),M-1,3,m
4107(a)(5),"Deceptive business practices-false advertisement (›$2,000)",F-3,5,1
4107(a)(5),"Deceptive business practices-false advertisement ($200-$2,000)",M-1,3,m
4107(a)(5),Deceptive business practices-false advertisement (‹$200/amt unk),M-2,2,m
4107(a)(5),"Deceptive business practices-false advertisement (›$2,000 & victim ›=60 yrs)",F-2,7,2
4107(a)(5),"Deceptive business practices-false advertisement ($200-$2,000 & victim ›=60 yrs)",F-3,5,1
4107(a)(5),Deceptive business practices-false advertisement (‹$200/amt unk & victim ›=60 yrs),M-1,3,m
4107(a)(6),Deceptive business practices-false statement,F-3,5,1
,"to obtain credit (›$2,000)",,,
4107(a)(6),Deceptive business practices-false statement,M-1,3,m
,"to obtain credit ($200-$2,000)",,,
4107(a)(6),Deceptive business practices-false statement,M-2,2,m
,to obtain credit (‹$200/amt unk),,,
4107(a)(6),Deceptive business practices-false statement,F-2,7,2
,"to obtain credit (›$2,000 & victim ›=60",,,
,yrs),,,
4107(a)(6),Deceptive business practices-false statement,F-3,5,1
,"to obtain credit ($200-$2,000 & victim ›=60 yrs)",,,
4107(a)(6),Deceptive business practices-false statement,M-1,3,m
,to obtain credit (‹$200/amt unk & victim ›=60 yrs),,,
4107(a)(7),Deceptive business practices-false statement,F-3,5,1
,"to sell securities (›$2,000)",,,
4107(a)(7),Deceptive business practices-false statement,M-1,3,m
,"to sell securities ($200-$2,000)",,,
4107(a)(7),Deceptive business practices-false statement,M-2,2,m
,to sell securities (‹$200/amt unk),,,
4107(a)(7),Deceptive business practices-false statement,F-2,7,2
,"to sell securities (›$2,000 & victim ›=60 yrs)",,,
4107(a)(7),Deceptive business practices-false statement,F-3,5,1
,"to sell securities ($200-$2,000 & victim",,,
,›=60 yrs),,,
4107(a)(7),Deceptive business practices-false statement,M-1,3,m
,to sell securities (‹$200/amt unk & victim ›=60 yrs),,,
4107(a)(8),Deceptive business practices-false statement,F-3,5,1
,"to investor (›$2,000)",,,
4107(a)(8),Deceptive business practices-false statement,M-1,3,m
,"to investor ($200-$2,000)",,,
4107(a)(8),Deceptive business practices-false statement,M-2,2,m
,to investor (‹$200/amt unk),,,
4107(a)(8),Deceptive business practices-false statement,F-2,7,2
,"to investor (›$2,000 & victim ›=60 yrs)",,,
4107(a)(8),Deceptive business practices-false statement,F-3,5,1
,"to investor ($200-$2,000 & victim ›=60 yrs)",,,
4107(a)(8),Deceptive business practices-false statement,M-1,3,m
,to investor (‹$200/amt unk & victim ›=60 yrs),,,
4107(a)(9),"Deceptive business practices-false statement via phone (›$2,000)",F-3,5,1
4107(a)(9),"Deceptive business practices-false statement via phone ($200-$2,000)",M-1,3,m
4107(a)(9),Deceptive business practices-false statement via phone (‹$200/amt unk),M-2,2,m
4107(a)(9),"Deceptive business practices-false statement via phone (›$2,000 & victim ›=60 yrs)",F-2,7,2
4107(a)(9),"Deceptive business practices-false statement via phone ($200-$2,000 & victim ›=60 yrs)",F-3,5,1
4107(a)(9),Deceptive business practices-false statement via phone (‹$200/amt unk & victim ›=60 yrs),M-1,3,m
4107.1(a),Deception relating to kosher food products,M-3,1,m
4107.2(a)(1),Deception minority/women’s business-fraud,F-3,4,1
,to obtain certif.,,,
4107.2(a)(2),Deception minority/women’s business-false statement to deny certif.,F-3,4,1
4107.2(a)(3),Deception minority/women’s business-,F-3,4,1
,obstruct investigation for certif.,,,
4107.2(a)(4),Deception minority/women’s business-fraudulent obtain public money,F-3,4,1
4108(a),Commercial bribery/breach of duty-corrupt employee/agent/fiduciary,M-2,2,m
4108(b),Commercial bribery/breach of duty-corrupt disinterested person,M-2,2,m
4108(c),Commercial bribery/breach of duty-solicitation,M-2,2,m
4109(a)(1),Rigging publicly exhibited contest-confer benefit/threaten injury,M-1,3,m
4109(a)(2),Rigging publicly exhibited contest-tamper w/ person/animal/thing,M-1,3,m
4109(b),Rigging publicly exhibited contest-solicit/accept benefit for rigging,M-1,3,m
4109(c),Rigging publicly exhibited contest-participate in rigged contest,M-1,3,m
4110,Defrauding secured creditors,M-2,2,m
4111,Fraud in Insolvency,M-2,2,m
4111(1),Fraud in insolvency-destroys/etc. property to obstruct creditor claim,M-2,2,m
4111(2),Fraud in insolvency-falsify writing/record of property,M-2,2,m
4111(3),Fraud in insolvency-knowingly misrepresent/refuse to disclose property,M-2,2,m
4112,Receiving deposits in failing financial institution,M-2,2,m
4113(a),Misapplication of entrusted property (›$50),M-2,2,m
4113(a),Misapplication of entrusted property (‹=$50),M-3,1,m
4114,Securing execution of documents by deception,M-2,2,m
4115,Falsely impersonating persons privately employed,M-2,2,m
4116(b)(1),Copying; recording devices-knowingly transfer sounds for profit (100+ motion pict./1000+ recordings),F-3,5,1
4116(b)(1),Copying; recording devices-knowingly transfer sounds for profit (100+ motion pict./1000+ recordings and 2nd/subsq off),F-2,7,2
4116(b)(1),Copying; recording devices-knowingly transfer sounds for profit (any other 1st off),M-1,3,m
4116(b)(1),Copying; recording devices-knowingly transfer sounds for profit (any other 2nd/,F-3,5,1
,subsq off),,,
4116(b)(2),Copying; recording devices-manufacture/etc. w/ knowledge of transfer (100+ motion pict./1000+ recordings),F-3,5,1
4116(b)(2),Copying; recording devices-manufacture/etc. w/ knowledge of transfer (100+ motion pict./1000+ recordings and 2nd/subsq off),F-2,7,2
4116(b)(2),Copying; recording devices-manufacture/etc. w/ knowledge of transfer (any other 1st off),M-1,3,m
4116(b)(2),Copying; recording devices-manufacture/etc. w/ knowledge of transfer (any other 2nd/subsq off),F-3,5,1
4116(d),Copying; recording devices-sell/rent illegal recording device (100+ motion pict./1000+ recordings),F-3,5,1
4116(d),Copying; recording devices-sell/rent illegal recording device (100+ motion pict./1000+ recordings and 2nd/subsq off),F-2,7,2
4116(d),Copying; recording devices-sell/rent illegal recording device (any other 1st off),M-1,3,m
4116(d),Copying; recording devices-sell/rent illegal recording device (any other 2nd/subsq off),F-3,5,1
4116(d.1)(1),Copying; recording devices-sell/rent live recording w/o owner consent (100+ motion pict./1000+ recordings),F-3,5,1
4116(d.1)(1),Copying; recording devices-sell/rent live recording w/o owner consent (100+ motion pict./1000+ recordings and 2nd/subsq off),F-2,7,2
4116(d.1)(1),Copying; recording devices-sell/rent live recording w/o owner consent (any other 1st off),M-1,3,m
4116(d.1)(1),Copying; recording devices-sell/rent live recording w/o owner consent (any other 2nd/subsq off),F-3,5,1
4116(e),Copying; recording devices-mfr. name on packaging (100+ motion pict./1000+ recordings),F-3,5,1
4116(e),Copying; recording devices-mfr. name on packaging (100+ motion pict./1000+ recordings & 2nd/subsq off),F-2,7,2
4116(e),Copying; recording devices-mfr. name on packaging (any other 1st off),M-1,3,m
4116(e),Copying; recording devices-mfr. name on packaging (any other 2nd/subsq off),F-3,5,1
4116.1(a),Unlawful use of recording device in movie theater (1st off),M-1,3,m
4116.1(a),Unlawful use of recording device in movie theater (2nd/subsq off),F-3,4,1
4117(a)(1),Insurance fraud-false document to gvt. agency for ins. rate,F-3,4,1
4117(a)(2),Insurance fraud-false insurance claim,F-3,4,1
4117(a)(3),Insurance fraud-assist/conspire/etc. in false insurance claim,F-3,4,1
4117(a)(4),Insurance fraud-unlicensed agent activity,F-3,4,1
4117(a)(5),Insurance fraud-knowingly benefits from proceeds,F-3,4,1
4117(a)(6),Insurance fraud-health care facility allows insurance fraud,F-3,4,1
4117(a)(7),Insurance fraud-borrows/uses another’s ins.,F-3,4,1
,ID w/ intent to defraud,,,
4117(a)(8),Insurance fraud-direct/indirect solicitation for pecuniary gain,F-3,4,1
4117(b)(1),Insurance fraud-unlawful compensation by attorney,M-1,3,m
4117(b)(2),Insurance fraud-unlawful compensation by provider,M-1,3,m
4117(b)(3),Insurance fraud-unlawful compensation for patient referral,M-1,3,m
4117(b)(4),Insurance fraud-false insurance application,M-1,3,m
4118,Washing vehicle titles,F-3,4,1
4119(a)(1),Trademark counterfeiting-mfr.,M-1,3,m
4119(a)(1),"Trademark counterfeiting-mfr. (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(1),"Trademark counterfeiting-mfr. (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4119(a)(2),Trademark counterfeiting-sells,M-1,3,m
4119(a)(2),"Trademark counterfeiting-sells (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(2),"Trademark counterfeiting-sells (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4119(a)(3),Trademark counterfeiting-offers for sale,M-1,3,m
4119(a)(3),"Trademark counterfeiting-offers for sale (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(3),"Trademark counterfeiting-offers for sale (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4119(a)(4),Trademark counterfeiting-displays,M-1,3,m
4119(a)(4),"Trademark counterfeiting-displays (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(4),"Trademark counterfeiting-displays (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4119(a)(5),Trademark counterfeiting-advertises,M-1,3,m
4119(a)(5),"Trademark counterfeiting-advertises (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(5),"Trademark counterfeiting-advertises (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4119(a)(6),Trademark counterfeiting-distributes,M-1,3,m
4119(a)(6),"Trademark counterfeiting-distributes (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(6),"Trademark counterfeiting-distributes (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4119(a)(7),Trademark counterfeiting-transports,M-1,3,m
4119(a)(7),"Trademark counterfeiting-transports (prev conv/›100 items-‹1000 items/›$2,000-‹$10,000 value)",F-3,5,1
4119(a)(7),"Trademark counterfeiting-transports (2+ prev conv/mfr. of items/›=1000 items/›$10,000 value)",F-2,7,2
4120(a),"Identity theft (›=$2,000)",F-3,5,1
4120(a),"Identity theft (‹$2,000)",M-1,3,m
4120(a),Identity theft (3rd/subsq off),F-2,7,2
4120(a),Identity theft (furtherance of conspiracy),F-3,5,1
4120(a),"Identity theft (›=$2,000 and victim ›=60 yrs/care-dependent)",F-2,7,2
4120(a),"Identity theft (‹$2,000 and victim ›=60 yrs/care-dependent)",F-3,5,1
4120(a),Identity theft (3rd/subsq off and victim ›=60 yrs/care-dependent),F-1,8,3
4120(a),Identity theft (furtherance of conspiracy and victim ›=60 yrs/care-dependent),F-2,7,2
4120(a),"Identity theft (‹$2,000 and victim ‹18 yrs)",F-3,5,1
4120(a),"Identity theft (›=$2,000 and victim ‹18 yrs)",F-2,7,2
4120(a),Identity theft (3rd/subsq off and victim ‹18 yrs),F-1,8,3
4120(a),Identity theft (furtherance of conspiracy and victim ‹18 yrs),F-2,7,2
4301(a),Bigamy (by married person),M-2,3,m
4301(b),Bigamy (knowing other person committing bigamy),M-2,3,m
4302(a),Incest (victim ›18 yrs.),F-2,9,4
4302(b)(1),Incest-of a minor (victim ‹13 yrs.),F-2,9,4
4302(b)(2),Incest-of a minor (victim 13-18 yrs. and offender at least 4 yrs. older),F-2,9,4
4303(a),Concealing death of child,M-1,3,m
4304(a)(1),Endangering welfare of children-violate duty of care,M-1,5,1
4304(a)(1),Endangering welfare of children-violate duty of care (course of conduct),F-3,6,1
4304(a)(2),Endangering welfare of children-official prevents/interferes w/ reporting,M-1,5,1
4304(a)(2),Endangering welfare of children-official prevents/interferes w/ reporting (course of conduct),F-3,6,1
4305,Dealing in infant children,M-1,4,1
4701(a)(1),Bribery in official & political matters-pecuniary benefit as public servant,F-3,5,1
4701(a)(2),Bribery in official & political matters-benefit for judicial/admin./legis. proceedings,F-3,5,1
4701(a)(3),Bribery in official & political matters-benefit for legal duty as public servant,F-3,5,1
4702(a)(1),Threats-to influence decision as public,M-2,2,m
,servant,,,
4702(a)(1),Threats-to influence decision as public,F-3,5,1
,servant (threat to commit crime),,,
4702(a)(2),Threats-to influence decision in judicial/admin. proceedings,M-2,2,m
4702(a)(2),Threats-to influence decision in judicial/admin. proceedings (threat to commit crime),F-3,5,1
4702(a)(3),Threats-harm for legal duty as public servant,M-2,2,m
4702(a)(3),Threats-harm for legal duty as public servant (threat to commit crime),F-3,5,1
4703,Retaliation for past official action,M-2,2,m
4902(a),Perjury,F-3,5,1
4903(a)(1),False swearing in official matters-in official proceeding,M-2,2,m
4903(a)(2),False swearing in official matters-to mislead public servant,M-2,2,m
4903(b),False swearing-statement required to be,M-3,1,m
,sworn,,,
4904(a)(1),Unsworn falsification to authorities-written statement,M-2,2,m
4904(a)(2),Unsworn falsification to authorities-relies on false writing,M-2,2,m
4904(a)(3),"Unsworn falsification to authorities-relies on false specimen/map/boundary, etc.",M-2,2,m
4904(b),Unsworn falsification to authorities-statement under penalty,M-3,1,m
4905(a),False alarms to agency of public safety,M-1,3,m
4905(a),False alarms to agency of public safety (state of emergency),F-3,5,1
4906(a),False reports-falsely incriminate another,M-2,2,m
4906(a),False reports-falsely incriminate another (report of theft/loss of firearm),M-1,3,m
4906(a),False reports-falsely incriminate another,M-1,3,m
,(state of emergency),,,
4906(b)(1),False reports-fictitious report to law enforcement,M-3,1,m
4906(b)(1),False reports-fictitious report to law enforcement (report of theft/loss of firearm),M-2,2,m
4906(b)(1),False reports-fictitious report to law enforcement (state of emergency),M-2,2,m
4906(b)(2),False Reports-fictitious report of information,M-3,1,m
4906(b)(2),False Reports-fictitious report of information (report of theft/loss of firearm),M-2,2,m
4906(b)(2),False Reports-fictitious report of information (state of emergency),M-2,2,m
4906.1,False reports of child abuse,M-2,2,m
4909,Witness or informant taking bribe,F-3,5,1
4910(1),Tampering w/ physical evidence-intent to impair availability,M-2,2,m
4910(2),Tampering w/ physical evidence-false record etc.,M-2,2,m
4911(a)(1),Tampering w/ public records-false entry/govt. doc,M-2,2,m
4911(a)(1),Tampering w/ public records-false entry/govt. doc. (to defraud),F-3,4,1
4911(a)(2),Tampering w/ public records-presenting false document,M-2,2,m
4911(a)(2),Tampering w/ public records-presenting false document (to defraud),F-3,4,1
4911(a)(3),Tampering w/ public records-intent to impair doc. availability,M-2,2,m
4911(a)(3),Tampering w/ public records-intent to impair doc. availability (to defraud),F-3,4,1
4912,Impersonating a public servant,M-2,2,m
4913(a),Impersonating a notary public,M-2,2,m
4913(a),Impersonating a notary public (intent to,M-1,3,m
,harm/defraud),,,
4913(a),Impersonating a doctor of medicine (provides medical advice or treatment),M-1,3,m
4914(a),False identification to law enforcement authorities,M-3,1,m
4915.1(a)(1),Fail to register with PSP-15 yr. registration (1st off),F-3,6,1
4915.1(a)(1),Fail to register with PSP-15 yr. registration (2nd/subsq off),F-2,8,2
4915.1(a)(1),Fail to register with PSP-25 yr. registration (1st off),F-2,8,2
4915.1(a)(1),Fail to register with PSP-25 yr. registration (2nd/subsq off),F-1,10,3
4915.1(a)(1),Fail to register with PSP-lifetime registration (1st off),F-2,8,2
4915.1(a)(1),Fail to register with PSP-lifetime registration (2nd/subsq off),F-1,10,3
4915.1(a)(2),Fail to verify address/be photo’d-15 yr. registration (1st off),F-3,6,1
4915.1(a)(2),Fail to verify address/be photo’d-15 yr. registration (2nd/subsq off),F-2,8,2
4915.1(a)(2),Fail to verify address/be photo’d-25 yr. registration (1st off),F-2,8,2
4915.1(a)(2),Fail to verify address/be photo’d-25 yr. registration (2nd/subsq off),F-1,10,3
4915.1(a)(2),Fail to verify address/be photo’d-lifetime registration (1st off),F-2,8,2
4915.1(a)(2),Fail to verify address/be photo’d-lifetime registration (2nd/subsq off),F-1,10,3
4915.1(a)(3),Fail to provide accurate information-15 yr. registration,F-2,8,2
4915.1(a)(3),Fail to provide accurate information-25 yr. registration,F-1,10,3
4915.1(a)(3),Fail to provide accurate information-lifetime registration,F-1,10,3
4915.1(a.1)(1),Fail to register with PSP: transient-15 yr. registration (1st off),F-3,6,1
4915.1(a.1)(1),Fail to register with PSP: transient-15 yr. registration (2nd/subsq off),F-2,8,2
4915.1(a.1)(1),Fail to register with PSP: transient-25 yr. registration (1st off),F-2,8,2
4915.1(a.1)(1),Fail to register with PSP: transient-25 yr. registration (2nd/subsq off),F-1,10,3
4915.1(a.1)(1),Fail to register with PSP: transient-lifetime registration (1st off),F-2,8,2
4915.1(a.1)(1),Fail to register with PSP: transient-lifetime registration (2nd/subsq off),F-1,10,3
4915.1(a.1)(2),Fail to verify address/be photo’d: transient-15 yr. registration (1st off),F-3,6,1
4915.1(a.1)(2),Fail to verify address/be photo’d: transient-15 yr. registration (2nd/subsq off),F-2,8,2
4915.1(a.1)(2),Fail to verify address/be photo’d: transient-25 yr. registration (1st off),F-2,8,2
4915.1(a.1)(2),Fail to verify address/be photo’d: transient-25 yr. registration (2nd/subsq off),F-1,10,3
4915.1(a.1)(2),Fail to verify address/be photo’d: transient-lifetime registration (1st off),F-2,8,2
4915.1(a.1)(2),Fail to verify address/be photo’d: transient-lifetime registration (2nd/subsq off),F-1,10,3
4915.1(a.1)(3),Fail to provide accurate info.: transient-15 yr. registration,F-2,8,2
4915.1(a.1)(3),Fail to provide accurate info.: transient-25 yr. registration,F-1,10,3
4915.1(a.1)(3),Fail to provide accurate info.: transient-lifetime registration,F-1,10,3
4915.1(a.2)(1),Fail to comply w/ SVP outpatient review/counseling,M-1,5,m
4915.1(a.2)(2),Fail to comply w/ counseling req. from other jurisdiction,M-1,5,m
4952(a)(1),Intimidation of witness/victim-refrain from reporting (listed factor & F-1/Murder 1 or 2),F-1,11,4
4952(a)(1),Intimidation of witness/victim-refrain from reporting (listed factor & F-2),F-2,9,2
4952(a)(1),Intimidation of witness/victim-refrain from reporting (listed factor),F-3,7,1
4952(a)(1),Intimidation of witness/victim-refrain from reporting (general),M-2,5,m
4952(a)(2),Intimidation of witness/victim-false/misleading info. (listed factor & F-1/Murder,F-1,11,4
,1 or 2),,,
4952(a)(2),Intimidation of witness/victim-false/misleading info. (listed factor & F-2),F-2,9,2
4952(a)(2),Intimidation of witness/victim-false/misleading info. (listed factor),F-3,7,1
4952(a)(2),Intimidation of witness/victim-false/misleading info. (general),M-2,5,m
4952(a)(3),"Intimidation of witness/victim-Withhold Information, (listed factor & F-1/Murder 1 or 2)",F-1,11,4
4952(a)(3),Intimidation of witness/victim-withhold info. (listed factor & F-2),F-2,9,2
4952(a)(3),Intimidation of witness/victim-withhold info. (listed factor),F-3,7,1
4952(a)(3),Intimidation of witness/victim-withhold info. (general),M-2,5,m
4952(a)(4),Intimidation of witness/victim-false info/refuse testimony (listed factor & F-1/Murder 1 or 2),F-1,11,4
4952(a)(4),Intimidation of witness/victim-false info/refuse testimony (listed factor & F-2),F-2,9,2
4952(a)(4),Intimidation of witness/victim-false info/refuse testimony (listed factor),F-3,7,1
4952(a)(4),Intimidation of witness/victim-false info/refuse testimony (general),M-2,5,m
4952(a)(5),Intimidation of witness/victim-evade/ignore summons (listed factor & F-1/Murder 1 or 2),F-1,11,4
4952(a)(5),Intimidation of witness/victim-evade/ignore summons (listed factor & F-2),F-2,9,2
4952(a)(5),Intimidation of witness/victim-evade/ignore summons (listed factor),F-3,7,1
4952(a)(5),Intimidation of witness/victim-evade/ignore summons (general),M-2,5,m
4952(a)(6),"Intimidation of witness/victim-absent from proceeding, (listed factor & F-1/Murder 1 or 2)",F-1,11,4
4952(a)(6),Intimidation of witness/victim-absent from proceeding (listed factor & F-2),F-2,9,2
